,Date,Church_and_World
0,2022-01-16,"Gracious Father, We thank You for Your Son, our Lord Jesus.  He is the joy of man's desiring; the One for Whom our hearts always hunger. Even our sinful desires are just twisted impressions of the God-shaped void within us. And our hearts are always restless until they find their rest in You. So shine the light of Your face upon us and bless us to draw us under the shadow of Your wing.  Set our feet to walk on Your path in the steps of Your Son, our Lord Jesus, and fill us in our emptiness with your Holy Spirit. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Cornerstone Church of Valparaiso and their pastoral search.  Grant him Your wisdom and grace pour out Your peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
1,2022-01-23,"Gracious Father, You are the author and Giver of all good things; we thank You for all Your mercies and for Your loving care over all Your creatures.  We bless You for the gift of life; for Your protection round about us; and for all the tokens of Your love. We thank You for friendship and duty; for the joys that cheer us and the trials that teach us to trust in You. Most of all we thank You for the saving knowledge of Your Son our Savior; for the living presence of Your Spirit, the Comforter, for Your Church the Body of Christ; for the ministry of the word and sacrament; for all the means of grace and for the hope of glory. Make us wise unto a right use of Your benefits that we may render an acceptable thanksgiving unto You all the days of our life. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Westminster Presbyterian Church in Shalimar and their pastors Chad Watkins and Knox White, together with all who counsel, minister, and worship there.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
2,2022-01-30,"Gracious Father, We pray for the sanctification of the saints. We ask that Your people might come out from the midst of this corrupt world and not compromise with evil. We pray that you would enable us to live lives of repentance. Deliver us from the love of this world and the things of this world. Do not allow us to be seduced by the lust of the eyes or the pride of life. Enable us to seek first Your kingdom and its righteousness and to make it always our ambition to be pleasing in Your sight so that we might truly glorify Your holy name and live as You live and in accordance with the life granted us in Christ Jesus.  We especially pray that You will preserve us together with our sons and daughters against the assaults of the world, the flesh, and the devil. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Manna Church and pastor Chris Shinnick.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
3,2022-02-06,"Almighty God, our heavenly Father, Who have promised certainly to grant to us those things which we ask for in the name of Your beloved Son Jesus Christ: so work in our hearts by Your Holy Spirit, that we may rightly know You, to sanctify, adore and praise You in all Your works, in which Your Omnipotence; Wisdom, Goodness, Mercy, Justice; and Truth shine forth. Grant also that we may so order our whole life, all our thoughts, Words and works, that Your name may not be profaned, but adored and praised through us. So govern us, by the scepter of Your Word, and the power of Your Holy Spirit, that we and all men, may daily more subject and yield ourselves to your Divine Majesty. LORD, HEAR OUR PRAYERS.  For You are gracious. In our own community, we lift up to You: First Presbyterian Church of Niceville and pastor Joe Grider as well as Rick Mallick ministering on staff there.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
4,2022-02-13,"Great Father in Heaven, we lift up to You ourselves, our families, friends and neighbors; deliver us from all anxiety, affliction, danger, and need; that we may live in love, health, peace, and repentance, and end our lives like we have lived them, as Christians.  Guard us this week in peace and sinlessness and preserve us by Your grace unto the end, from all the scandals of those that work iniquity, to glorify You, God the Father Almighty, We pray these blessings not only for ourselves, but for all Your Church in all the world. In our own community, we lift up to You: Forest Lake Bible Church and elders Alldredge and Tidwell.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
5,2022-02-20,
6,2022-02-27,"Gracious Father, thank You for calling us out of darkness and dealing kindly to us when we were as yet still Your enemies.  Grant us the mighty grace of Your Spirit so to run the race You have set before us with devotion and excellence, not with apathy or uncertainty.  And continue to shine Your light into the dark regions of the world bringing men to the life of that light in Christ! We pray these blessings not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You:  Rosemont Baptist Doug Fannon & Lee Dolohite."
7,2022-03-06,"Our Gracious Father in Heaven, We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: New Hope Baptist Church of Valparaiso and Pastor David Wilson.  Would You continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; to delight in You and Your Word and to live by faith as You have called us to."
8,2022-03-13,"Gracious Father and Almighty God, we praise You for the victory of Jesus over the Devil and the power of his temptations.  Give to us the same power of Your Spirit as You test us and prove our faith make us to share in His triumph.  Make us victors with our victorious Lord, that we might render to You that which You desire justice, mercy, repentance, obedience, the love and help of our neighbor as ourselves and the love of You with all our being. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You:"
9,2022-03-20,"Heavenly Father, make of us a holy and pure people.  You have promised that the pure in heart shall see You.  So help us to be such.  Cleanse and purify us so that in understanding we might be mature, but in sin and lust, we may be as innocent children. Renew us, forgive our sins, and grant us all strength to stand with pure fidelity against the seductions of our Foe. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Bethel Baptist Church in Valparaiso, pastor Alan Stewart and all who worship there.  Grant them faithfulness and the grace of Your Spirit and fidelity to Your Word nourished by the milk and meat of Your Word they would grow in the grace and knowledge of the Lord Jesus and abound in the righteous fruits of Your Spirit!"
10,2022-03-27,"Heavenly Father, For You, O Christ our God, are the illumination of our souls and bodies.  So make us a people who look like and live like You and who may dwell in Your presence and abide in You. That we may do Your will and see Your kingdom come and spread here on earth as it is in heaven. We pray Your blessings not only for ourselves but for all Your Church in all the world. In our own community, we pray for your blessing upon the work of Manna Church, pastors Shinnick, and Gonzalez,  and all those who serve and worship You there.  Bless them richly in this season in their walk with You and build them up by Your Spirit and Word."
11,2022-04-03,
12,2022-04-10,"O God our Lord of the Power, Maker of all creation, Who, in Your incomparable mercy, sent Your Only-Begotten Son, our Lord Jesus Christ to be the resurrection and the life, and by His holy Cross to tear asunder the record of our sins, and thereby conquer the rulers and powers of darkness; Receive our thanksgiving and our prayers and deliver us from every destructive and dark sin, and from all visible and invisible enemies who seek our harm. Nail down our flesh with fear of You, and pierce our souls with Your love, that we may willingly give up comfort and safety in order to follow Christ with fullness of faith. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Bluewater Bay community Church Pastor Dean Allen and [churchplanter] Clint Akins - Would You continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; to delight in You and Your Word and to live by faith as You have called us to."
13,2022-04-17,"Our Gracious Father in Heaven, Through the death of Your Son, You destroyed sin and death, and by His rising to life again restored innocence and life everlasting delivering us from the power of the Devil to live under You in Your Kingdom.  Strengthen us by the comfort and the power of His resurrection now and all our days.  Make us brave in the shadow of death by the sweetness of Your promise that just as You raised Christ, we will by no means remain in our graves but will rise again also at the end of days.  Guide us in new life as we run the race You've set before us, and when we finish our course, give us the crown of life so that with all the holy angels and saints of every age we may praise and glorify You, without end. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Manna Church in Niceville and Pastor Chris Shinnick along with all those who minister there.  Grant them Your blessing, empower them to be wise and faithful in ministry and righteousness;   Grow them up into full maturity with Christ, the Head of the Church, and bless their congregation with Your guidance and clarity."
14,2022-04-24,"We glorify You   Our Gracious Father for the resurrection of Jesus from the grave wherein He won victory over death, Give us the glorious hope of His resurrection all our days. We glorify You, O Christ:  For breaking open the gates of Hell and destroyed sin and death and opening for us the way to everlasting life.  Give us might and victory over sin all our days. We glorify You, O Holy Spirit:  You lead us into truth.   Give us Your light and guidance in the way of eternal life all our days. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Westminster Presbyterian Church and Pastors Chad Watkins and Knox White.  Would You continue to grant them Your blessing, protect them from harm and divisions keep them and guide them in Your truth by Your Spirit.  Empower them to be wise and faithful in ministry and bless them to know Your peace and joy and to see the fruit from their ministry labors."
15,2022-05-01,"Heavenly Father Thank You that a people such as we are, can rightly call You our Father;  that in the resurrection of our Lord Jesus, You have begotten us again as Your Own children and heirs.  Grant us the grace of Your Spirit to prepare our minds for action, to be sober, and to rest our hope fully upon the gracious gifts You will grant us with the revelation of Your Son.  Empower us that we not conform ourselves to ungodly lusts, but rather, be holy as our Heavenly Father is holy. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: All God's Children and the Living Word and pastor Walter Williams.  We pray that they along with us would abound in love more and more with knowledge and all discernment, so that they might approve what is excellent, and so be pure and blameless before Christ.  Fill them with the fruit of righteousness that comes through Jesus to the glory and praise of God."
16,2022-05-08,"Gracious Father in Heaven, You've adopted us as Your Own children and cleansed us not just from fleshly impurities but even in our consciences by uniting us to Your Son, the One Who is seated at Your right hand above all powers and principalities.  You have commanded us to set our minds there, so do not let us be deceived by the allurements of sin. Grant the grace of Your Spirit to us that we may always persevere as members of Christ's body continuing in worship all our days to stir up one another to increase in the fruits that please You love and good works. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: 1st AG Valparaiso Doug Suvino [and retired pastor] Gueary Clendening."
17,2022-05-15,
18,2022-05-22,
19,2022-05-29,"Gracious Father, We thank You for Your precious promises declared to the human race in Your Son.  Grant us His victory in our war against sin and the temptations even of our own flesh. We sanctify Christ in our hearts and entrust ourselves to You once more so keep us that we may always be Your people who walk in this life with good consciences before You. We ask these blessings not only for ourselves, but for all Your people all over the world.  Here in our own community we lift up to You:"
20,2022-06-05,
21,2022-06-12,
22,2022-06-19,"Our Gracious Father in Heaven, Keep us, Holy Father, by Your name, and make us one as You are one, Father, Son, and Spirit.  Keep us from the evil one and sanctify us by Your Word of truth Your Word is truth.  So make us one in You, that the world may know that You have sent Your Son, and have loved us just as You loved Him. We pray this not only for ourselves but for all Your Church in all the world. Within our own community, we pray for Crosspoint Church and Pastors Ausley and Smith.  We thank you for their ministering presence in our community, for their testimony of Christian service.  Richly bless them as they resume worship services and grow Your people there into the image of Christ our Lord."
23,2022-06-26,"Our Gracious Father in Heaven, There is none like You in all the earth or Heaven; seen or unseen.  You have made all creation very good by the Mighty Word of Your Power.  You have established the order of the seasons and continually provide for Your creatures and make Yourself known to them by giving gifts and life and joy.  Truly Heaven and earth are full of the majesty of Your glory. Bless our daily lives by Your means of daily grace, that we, Your people, may walk with You and grow to reflect the brightness of Your holy goodness. We pray these things not only for ourselves but for all of Your people in all of the world. In our own community, we lift up to you the congregation of Forest Lake Bible Church and elders Tidwell, Danzler, and Alldridge.    We ask that You would fill them with all wisdom and grace and use that congregation in this community and in its ministry throughout the world. Give us a true and Biblical unity with these church and the other churches in our community."
24,2022-07-03,"Gracious Father in Heaven, What manner of wondrous love is this that You would call us out of darkness into Your marvelous light to be your royal priests.  We thank you for the gift of Your Son and the gift of Your Spirit.  Grant us Your grace to live up to our calling as Your priestly people on the earth. Make us true worshipers of the Father through the Son in the Spirit.  Shape and Strengthen us here so that in thought, word, and deed we may love and please You and love and serve our neighbor as ourselves. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You First Presbyterian Church of Niceville and pastor Joe Grider, assistant Rick Mallick,  and every officer, minister, and counselor there [celebration of 100th anniversary]- We ask that You would enlighten and sanctify them by Your Word and Spirit; endue each with Your grace and joy and Strengthen them in their labors; give them courage to witness a good confession that they might increase in fruit and faithfulness. Bless also the General Assembly of the PCA this week guide them, empower them, enlighten them, and work through their deliberations for the greater glory of Your name, the furtherance of Your gospel, and the good of Your People."
25,2022-07-10,
26,2022-07-17,
27,2022-07-24,"Our Father in Heaven, You are the Giver of all good things; we thank You for all Your mercies and for Your loving care over all Your creatures.  For life, protection, friendship and duty; the countless joys we've known, just this morning, and even for the trials that teach us to trust in You. Most of all we thank You for Your Son our Savior; for the presence of Your Spirit, our Comforter, and for the ministry of worship, Word and Sacrament in Your Church. We ask these blessings not only for ourselves, but for all Your Church in all the world! In our own community, we lift up to You Sovereign Grace Church and pastor Bill Cain."
28,2022-07-31,"Gracious Father, In all the hardships and persecutions and trials of our lives, seal, stay, and stablish us by the truth that Christ Jesus has died, raised, and ascended to Your own right hand to intercede for us.  That in all troubles, we are conquerors and more conquerors through Christ Jesus our Savior Who gave Himself for us and loved us with the unshakable love of God.  Purge away our sins of pride, selfishness, hypocrisy, and remove from us all stubborn unrepentance.  Consecrate us as holy ones who follow Christ, who love you with all your hearts, souls, minds, and strength and who truly love our neighbors as ourselves. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You  Rosemont Baptist Church and Pastors Doug Fannon and Lee Dolohite.  We thank You for their place in our community.  For their many gospel labors and ask that You would add Your Divine blessing to these making them into salt and light to this community and especially their neighborhood where they minister.  Grant them the patience to persevere, and grow them spiritually as well as numerically."
29,2022-08-07,"Heavenly Father, Thank You for Your love to us that makes us more than conquerors and from which nothing in creation can separate us.. Forgive us for our feebleness and for how quickly we lose heart.  Steady and stay us and plant Your word in us so that it would grow and bloom and bear much fruit for You. Help us by Your Spirit to live with perseverance and patience and to see our lives with Your eyes, through faith, and cling to Your promises to us.. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You Rocky Bayou Baptist Church and pastors Troy Hamilon, Bill Turner.  Continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; Pour out Your Holy Spirit in their midst like the dew of Hermon so that they would know Your peace and the good unity of the brethren and delight in You and Your Word and to live by faith as You have called us to here."
30,2022-08-14,"Gracious Father, We thank You for the blood of Christ, which brought about our redemption, the forgiveness of our sins, and for His body and cross which united those who were far off and those who were near in one body to You.  We acknowledge ourselves to be that which we are, formerly aliens to the commonwealth of Israel, strangers to the covenants of promise, without Christ, without hope, and without God in the world.  But now we are Your workmanship, created in Christ Jesus, so continue to strengthen us by Your Spirit that we should walk in the good works which You have prepared before us. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You at Full Hope Gospel Church next door, friend and pastor Jay Om and all our brothers and sisters who worship You and sing Your praises in the Korean tongue.  Grow and enrich them to faithfulness by the grace of Your Spirit and fidelity to Your Word so that Your Word would be more fully proclaimed, believed, and obeyed among our community."
31,2022-08-21,"Father, It's so hard for us to live by faith rather than by what we see and respond to in our immediate sense of things.  Of all generations, ours is untrained at waiting with patience within time as You've created us to and as You teach us to in Your providence and Word.  Forgive us for demanding to receive what we prefer right now, and for caring so little to even learn the patience of wisdom. Bear with us Lord, and grow us up in every way into Him Who is our Head, so that we may build Your Body up in love. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You Niceville Christian Church and their new pastor"
32,2022-08-28,"Gracious and Holy Father in Heaven, Create in us clean hearts O God and restore right spirits within us.  Search us, try us, know us - see if there be any dishonest or harmful ways within us.  Purify us by Your Spirit and fill us so that the words of our mouths and the meditations of our hearts would be pleasing to You, and that by the fruit of our mouths this Church, our homes, our workplaces, and Your world would be filled with grace and truth. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You  Bluewater Community Church pastor Dean Allen and church planter Clint Akins.   Would You continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; to delight in You and Your Word and to live by faith as You have called us to."
33,2022-09-04,"Gracious Father in Heaven, We praise You for the steadfastness of your love toward us; for the extravagance of Your goodness to all of creation, from the smallest most frail and common place creatures to the greatest among mankind.  You know the needs we possess before we even think to pray about them or even are aware of them in the first place.  Truly you are nearer to us than we are to ourselves.  So hear our prayers and let your steadfast love, O LORD, be upon us, even as we hope in You.   For from You and through You and to You are all things. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You  Westminster Presbyterian Church and retired pastor Bill Tyson, Chad Watkins and Knox White.  Would You continue to grant them Your blessing, protect them from harm and divisions keep them and guide them in Your truth by Your Spirit.  Empower them to be wise and faithful in ministry and bless them to know Your peace and joy and to see the fruit from their ministry labors."
34,2022-09-11,"Most merciful Father from whom come all the blessings of the light; and who in darkness still is near; all praise and thanks be unto You for all Your dealings with us which manifest Your goodness; as well as for those also in which Your love is hidden from our eyes. We thank You for Your holy Word delivered to Your Church; for the faith which it has conveyed to men from one generation to another; and for the mercies by which it has enlarged and comforted our souls. We ask now with boldness and humility that You would mercifully receive the prayers of Your people who call upon You in the name of Your dear Son. Bless Your Church throughout all the world. In our own community, we lift up to You: All God's Children and the Living Word and pastor Walter Williams.  We pray that they along with us would abound in love more and more with knowledge and all discernment, so that they might approve what is excellent, and so be pure and blameless before Christ.  Fill them with the fruit of righteousness that comes through Jesus to the glory and praise of God."
35,2022-09-18,"Gracious Father in Heaven, God, Father of our Lord Jesus Christ, Deliver us and our children from the wiles of the world, the flesh, and the devil. Deliver us from evil and temptation. Enable us to see and to understand how we ought to walk, not as fools but as wise, redeeming the time, remembering that our days are full of opportunities for evil. Help us as a people to love one another and so fulfill the law of Christ. Grant us understanding that we might never forsake the assembling of ourselves together as the manner of some is, so that we might take advantage of every opportunity to stir one another up unto love and good works. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: New Hope Baptist Church and Pastor David Wilson   Would You grant them Your continued blessing cause Your Word to dwell in them richly build them up into strength and maturity in our most holy faith - and grant them the wisdom, righteousness, and gracious power of Your Spirit."
36,2022-09-25,"Gracious Father in Heaven, God, Father of our Lord Jesus Christ, we give You praise and thanks for all Your goodness and tender mercies. We bless You for the love that created us, and that sustains us day by day. We praise You for the gift of Your Son, our Savior, through whom you have made known Your will and grace. We thank you for the Holy Spirit, our Comforter; for the Holy, catholic, and Apostolic Church, for the means of grace, for the lives of all faithful and godly people, and for the hope of the life to come. Help us to treasure in our hearts all that our Lord has done for us, and enable us to show our thankfulness by lives that are given wholly to Your service. We ask these blessings for all of Your People.  In our own community we lift up to You Generations United Church of Niceville and Pastor Phil Daniels and everyone who ministers and worships there build them up in Your Holy Word to faithfulness and fruitfulness in our Lord Jesus"
37,2022-10-02,"Gracious Father, Thank You for knowing us perfectly and loving us anyway for knowing what is in our hearts, for extending grace and bearing with us and for the work of Your Spirit which renews our hearts and changes us from the inside out. Grant us the joy of our own salvation and inspire us to partake in Your works of gospel service, to delight in mercy as You do.  And grow us up into Your wisdom and in faithfulness before You. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You Manna Church and pastors Schinnick, Gonzales, and Basquez."
38,2022-10-09,"Gracious Father, Make us faithful hearers and fruit bearing obeyers of Your Word.  Spare us, kind Lord, from being among those who deceive themselves; those who pay You lip service, but are turned far from You in their hearts.  Rid us of our selfishness and pride that we would be able to always give You thanks.  Grant us, Christ's mind of humility to learn to regard others as more important than ourselves. We pray these things not only for ourselves but for all your Church in all the world. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You First Assembly of God Valparaiso and pastor Doug Suvino."
39,2022-10-16,"Gracious Father, Thank You for the gift of Your Word.  And Your Word made flesh Christ, Who was FOUND in the form of an obedient servant; obedient even to the point of death on the cross. Give us the grace of Your Spirit to truly make His mind our mind to esteem the needs of others more important than our own; humble, even joyful, submission and support to the authorities You have placed above us, and joyful trust in You above all. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You Niceville Church on Bayshore pastors Ross and Van Sant and Wyatt."
40,2022-10-23,"Gracious Father, We thank You for Your tender kindness to us not only for delivering us from the fear of death, but for Your lavish gifts and comforts in our daily lives.  Grant us Your grace to be strengthened and bettered by these, rather than spoiled and led by a desire for comforts and riches.  Establish us in Godly contentment, that we never be guilty of idolatry before You. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You Forest Lake Bible Church and elders Tidwell and Aldridge and Pastor Thomas as he preaches there today.    We ask that You would fill them with all wisdom and grace and use that congregation in this community and in its ministry throughout the world. And give us a true and Biblical unity with this church and the other churches of the community."
41,2022-10-30,"Our Gracious Father in Heaven, We ask Lord, that You would teach us the many lessons of our Lord that we may become Your mature people. Fill us with all Grace and peace.  Make us fruitful in works of faith and labors of love and steadfastness of hope in our Lord Jesus Christ. Grant us to live as Your faithful people in this nation and at this time in the power of Your Spirit and with full conviction. For we ask in the name of our resurrected Lord Jesus by Whom we are delivered from the wrath to come. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You St Paul Lutheran Church, Pastor David Charlton, Good Shepherd Lutheran in Crestview and Shalimar pastor Angerman and others.  Guide them into faithfulness; Many are in a larger denomination pressured socially in many directions that would compromise faithfulness to Your standard of righteousness. Fill them with all wisdom and grace and fidelity to You.  Empower them both as stewards of a past rich Reformational heritage and also called to walk faithfully today and into Your future."
42,2022-11-06,"Our Father in Heaven, Give us Your grace never to leave the light of the glory of Your gospel.  Guard and keep us from the temptations to stray that we would be vigilant against corruptions from within and without.  Thank you for the legacy of Your faithfulness to the world through Your people to purify and keep us- that You are the God Who was, and is, and will be at work among Your people. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You  the Catholic churches in our community Holy Name of Jesus, Christ our Redeemer, and St Mary's and Fathers Voyt and Johnson, Seb, Halsema.  Despite the doctrinal differences that separate us, we thank You for the areas where their testimony has shown brightly in this corrupt and sinful world.  Bless them and continue the work of Your Spirit to Reform all of Your Church, as you mature and unite us.  That all who bear the name of Christ Jesus would do so faithfully and with a growing purity of devotion to Your Holy Word."
43,2022-11-13,"Heavenly Father, As we have been gathered into one body by Your love, Teach us to fear and love You, the living God, And to put away our evil impulses and sinful strife, That we might, from sincere hearts, love one another As Christ our God dwells in our midst. Grant us, our God, true charity and love, for where these are, You are. And Grant us in the end to see the face of Christ our God in glory together with all Your Saints, which is the joy that is immense and good and never-ending. We pray these things not only for ourselves but for all your Church in all the world. In our own community, we lift up to You  Full Gospel Hope Korean Church and pastor Om.  We thank You for our neighbors and friends and ask You to Bless them richly by Your Holy Spirit in their worship and church life and ministry together."
44,2022-11-20,"Heavenly Father, You are holy, the God of majesty, and blessed is Jesus Christ, your Son, our Lord. Born as king in David's Line, but living a life of meekness to care for the lowly.  His power was revealed in weakness, His majesty in mercy. His captors knelt to mock him, giving him bruises instead of praise, and piercing thorns for a crown. Yet even in His death, He prayed for His tormentors. So You have made a throne of their cross and turned their scorn back upon them. From the grave you raised Him to your right hand where He rules as King and Judge of all - Lord of all Lords and King of all kings.   So Illumine our lives by the mysterious fact of His Kingship Give us victory as His faithful crossbearers and give us ever growing strength and unity through the body of Him by Whom and for Whom all things were created. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You Crosspoint Church and Pastors Ausley; Smith; Fuller; Macon, and the rest of their pastors, ministers, and officers."
45,2022-11-27,
46,2022-12-04,
47,2022-12-11,
48,2022-12-18,
49,2022-12-25,
